"","Genotype","Data","Sample","NMJ","Segment","Boutons","Experiment","IntDen...pMad","CTCF"
"1","WT-cr/LoxP","Boutons","1a","4",3,"33",1,NA,NA
"2","WT-cr/LoxP","Boutons","2a","4",3,"19",1,NA,NA
"3","WT-cr/LoxP","Boutons","2b","4",3,"38",1,NA,NA
"4","WT-cr/LoxP","Boutons","3a","4",3,"15",1,NA,NA
"5","WT-cr/LoxP","Boutons","3b","4",3,"25",1,NA,NA
"6","WT-cr/LoxP","Boutons","4a","4",3,"15",1,NA,NA
"7","WT-cr/LoxP","Boutons","4b","4",3,"23",1,NA,NA
"8","WT-cr/LoxP","Boutons","5a","4",3,"28",1,NA,NA
"9","WT-cr/LoxP","Boutons","6a","4",3,"32",1,NA,NA
"10","WT-cr/LoxP","Boutons","5b","4",3,"22",1,NA,NA
"11","WT-cr/LoxP","Boutons","4b","4",3,"20",2,NA,NA
"12","WT-cr/LoxP","Boutons","5a","4",3,"35",2,NA,NA
"13","WT-cr/LoxP","Boutons","5b","4",3,"30",2,NA,NA
"14","WT-cr/LoxP","Boutons","1a","4",3,"37",2,NA,NA
"15","WT-cr/LoxP","Boutons","1b","4",3,"23",2,NA,NA
"16","WT-cr/LoxP","Boutons","2a","4",3,"29",2,NA,NA
"17","WT-cr/LoxP","Boutons","2b","4",3,"23",2,NA,NA
"18","WT-cr/LoxP","Boutons","3a","4",3,"48",2,NA,NA
"19","WT-cr/LoxP","Boutons","1a","4",4,"22",1,NA,NA
"20","WT-cr/LoxP","Boutons","1b","4",4,"18",1,NA,NA
"21","WT-cr/LoxP","Boutons","2a","4",4,"45",1,NA,NA
"22","WT-cr/LoxP","Boutons","2b","4",4,"35",1,NA,NA
"23","WT-cr/LoxP","Boutons","3a","4",4,"38",1,NA,NA
"24","WT-cr/LoxP","Boutons","3b","4",4,"39",1,NA,NA
"25","WT-cr/LoxP","Boutons","4a","4",4,"39",1,NA,NA
"26","WT-cr/LoxP","Boutons","4b","4",4,"20",1,NA,NA
"27","WT-cr/LoxP","Boutons","5a","4",4,"39",1,NA,NA
"28","WT-cr/LoxP","Boutons","5b","4",4,"38",1,NA,NA
"29","WT-cr/LoxP","Boutons","6a","4",4,"27",1,NA,NA
"30","WT-cr/LoxP","Boutons","6b","4",4,"36",1,NA,NA
"31","WT-cr/LoxP","Boutons","1a","4",4,"32",2,NA,NA
"32","WT-cr/LoxP","Boutons","1b","4",4,"28",2,NA,NA
"33","WT-cr/LoxP","Boutons","2a","4",4,"22",2,NA,NA
"34","WT-cr/LoxP","Boutons","2b","4",4,"31",2,NA,NA
"35","WT-cr/LoxP","Boutons","3a","4",4,"30",2,NA,NA
"36","WT-cr/LoxP","Boutons","3b","4",4,"26",2,NA,NA
"37","WT-cr/LoxP","Boutons","4a","4",4,"32",2,NA,NA
"38","WT-cr/LoxP","Boutons","4b","4",4,"35",2,NA,NA
"39","WT-cr/LoxP","Boutons","5a","4",4,"35",2,NA,NA
"40","WT-cr/LoxP","Boutons","5b","4",4,"33",2,NA,NA
"41","WT-cr/LoxP","Boutons","6a","4",4,"38",2,NA,NA
"42","WT-cr/LoxP","Boutons","6b","4",4,"48",2,NA,NA
"43","WT-cr/LoxP","Boutons","1a","4",5,"23",1,NA,NA
"44","WT-cr/LoxP","Boutons","1b","4",5,"34",1,NA,NA
"45","WT-cr/LoxP","Boutons","2a","4",5,"34",1,NA,NA
"46","WT-cr/LoxP","Boutons","2b","4",5,"8",1,NA,NA
"47","WT-cr/LoxP","Boutons","3a","4",5,"49",1,NA,NA
"48","WT-cr/LoxP","Boutons","3b","4",5,"43",1,NA,NA
"49","WT-cr/LoxP","Boutons","4a","4",5,"13",1,NA,NA
"50","WT-cr/LoxP","Boutons","4b","4",5,"33",1,NA,NA
"51","WT-cr/LoxP","Boutons","5a","4",5,"38",1,NA,NA
"52","WT-cr/LoxP","Boutons","5b","4",5,"42",1,NA,NA
"53","WT-cr/LoxP","Boutons","6a","4",5,"30",1,NA,NA
"54","WT-cr/LoxP","Boutons","6b","4",5,"23",1,NA,NA
"55","WT-cr/LoxP","Boutons","1a","4",5,"19",2,NA,NA
"56","WT-cr/LoxP","Boutons","1b","4",5,"18",2,NA,NA
"57","WT-cr/LoxP","Boutons","2a","4",5,"18",2,NA,NA
"58","WT-cr/LoxP","Boutons","2b","4",5,"26",2,NA,NA
"59","WT-cr/LoxP","Boutons","3a","4",5,"42",2,NA,NA
"60","WT-cr/LoxP","Boutons","3b","4",5,"11",2,NA,NA
"61","WT-cr/LoxP","Boutons","4a","4",5,"32",2,NA,NA
"62","WT-cr/LoxP","Boutons","4b","4",5,"37",2,NA,NA
"63","WT-cr/LoxP","Boutons","5a","4",5,"37",2,NA,NA
"64","WT-cr/LoxP","Boutons","5b","4",5,"37",2,NA,NA
"65","WT-cr/LoxP","Boutons","6a","4",5,"40",2,NA,NA
"66","WT-cr/LoxP","Boutons","6b","4",5,"26",2,NA,NA
"67","WT-cr/LoxP","Boutons","1a","4",6,"20",1,NA,NA
"68","WT-cr/LoxP","Boutons","1b","4",6,"20",1,NA,NA
"69","WT-cr/LoxP","Boutons","2a","4",6,"26",1,NA,NA
"70","WT-cr/LoxP","Boutons","2b","4",6,"29",1,NA,NA
"71","WT-cr/LoxP","Boutons","3a","4",6,"34",1,NA,NA
"72","WT-cr/LoxP","Boutons","3b","4",6,"31",1,NA,NA
"73","WT-cr/LoxP","Boutons","4a","4",6,"20",1,NA,NA
"74","WT-cr/LoxP","Boutons","4b","4",6,"27",1,NA,NA
"75","WT-cr/LoxP","Boutons","5a","4",6,"20",1,NA,NA
"76","WT-cr/LoxP","Boutons","5b","4",6,"22",1,NA,NA
"77","WT-cr/LoxP","Boutons","6a","4",6,"24",1,NA,NA
"78","WT-cr/LoxP","Boutons","6b","4",6,"12",1,NA,NA
"79","WT-cr/LoxP","Boutons","1a","4",6,"21",2,NA,NA
"80","WT-cr/LoxP","Boutons","1b","4",6,"15",2,NA,NA
"81","WT-cr/LoxP","Boutons","2a","4",6,"32",2,NA,NA
"82","WT-cr/LoxP","Boutons","2b","4",6,"25",2,NA,NA
"83","WT-cr/LoxP","Boutons","3a","4",6,"25",2,NA,NA
"84","WT-cr/LoxP","Boutons","3b","4",6,"25",2,NA,NA
"85","WT-cr/LoxP","Boutons","4a","4",6,"14",2,NA,NA
"86","WT-cr/LoxP","Boutons","4b","4",6,"35",2,NA,NA
"87","WT-cr/LoxP","Boutons","5a","4",6,"4",2,NA,NA
"88","WT-cr/LoxP","Boutons","5b","4",6,"19",2,NA,NA
"89","WT-cr/LoxP","Boutons","6a","4",6,"30",2,NA,NA
"90","WT-cr/LoxP","Boutons","1a","6-7",3,"42",1,NA,NA
"91","WT-cr/LoxP","Boutons","2a","6-7",3,"51",1,NA,NA
"92","WT-cr/LoxP","Boutons","2b","6-7",3,"37",1,NA,NA
"93","WT-cr/LoxP","Boutons","3a","6-7",3,"30",1,NA,NA
"94","WT-cr/LoxP","Boutons","3b","6-7",3,"49",1,NA,NA
"95","WT-cr/LoxP","Boutons","4b","6-7",3,"72",1,NA,NA
"96","WT-cr/LoxP","Boutons","5a","6-7",3,"58",1,NA,NA
"97","WT-cr/LoxP","Boutons","5b","6-7",3,"49",1,NA,NA
"98","WT-cr/LoxP","Boutons","6a","6-7",3,"34",1,NA,NA
"99","WT-cr/LoxP","Boutons","1a","6-7",3,"29",2,NA,NA
"100","WT-cr/LoxP","Boutons","2a","6-7",3,"30",2,NA,NA
"101","WT-cr/LoxP","Boutons","2b","6-7",3,"41",2,NA,NA
"102","WT-cr/LoxP","Boutons","3a","6-7",3,"87",2,NA,NA
"103","WT-cr/LoxP","Boutons","3b","6-7",3,"91",2,NA,NA
"104","WT-cr/LoxP","Boutons","4a","6-7",3,"59",2,NA,NA
"105","WT-cr/LoxP","Boutons","4b","6-7",3,"32",2,NA,NA
"106","WT-cr/LoxP","Boutons","5a","6-7",3,"71",2,NA,NA
"107","WT-cr/LoxP","Boutons","5b","6-7",3,"56",2,NA,NA
"108","WT-cr/LoxP","Boutons","6a","6-7",3,"48",2,NA,NA
"109","WT-cr/LoxP","Boutons","1a","6-7",4,"42",1,NA,NA
"110","WT-cr/LoxP","Boutons","1b","6-7",4,"43",1,NA,NA
"111","WT-cr/LoxP","Boutons","2a","6-7",4,"55",1,NA,NA
"112","WT-cr/LoxP","Boutons","2b","6-7",4,"59",1,NA,NA
"113","WT-cr/LoxP","Boutons","3a","6-7",4,"35",1,NA,NA
"114","WT-cr/LoxP","Boutons","3b","6-7",4,"55",1,NA,NA
"115","WT-cr/LoxP","Boutons","4a","6-7",4,"44",1,NA,NA
"116","WT-cr/LoxP","Boutons","4b","6-7",4,"47",1,NA,NA
"117","WT-cr/LoxP","Boutons","5a","6-7",4,"37",1,NA,NA
"118","WT-cr/LoxP","Boutons","5b","6-7",4,"35",1,NA,NA
"119","WT-cr/LoxP","Boutons","6a","6-7",4,"30",1,NA,NA
"120","WT-cr/LoxP","Boutons","6b","6-7",4,"37",1,NA,NA
"121","WT-cr/LoxP","Boutons","1a","6-7",4,"52",2,NA,NA
"122","WT-cr/LoxP","Boutons","1b","6-7",4,"31",2,NA,NA
"123","WT-cr/LoxP","Boutons","2a","6-7",4,"16",2,NA,NA
"124","WT-cr/LoxP","Boutons","2b","6-7",4,"36",2,NA,NA
"125","WT-cr/LoxP","Boutons","3a","6-7",4,"34",2,NA,NA
"126","WT-cr/LoxP","Boutons","3b","6-7",4,"44",2,NA,NA
"127","WT-cr/LoxP","Boutons","4a","6-7",4,"14",2,NA,NA
"128","WT-cr/LoxP","Boutons","4b","6-7",4,"41",2,NA,NA
"129","WT-cr/LoxP","Boutons","5a","6-7",4,"38",2,NA,NA
"130","WT-cr/LoxP","Boutons","5b","6-7",4,"45",2,NA,NA
"131","WT-cr/LoxP","Boutons","6a","6-7",4,"51",2,NA,NA
"132","WT-cr/LoxP","Boutons","1a","6-7",5,"30",1,NA,NA
"133","WT-cr/LoxP","Boutons","1b","6-7",5,"32",1,NA,NA
"134","WT-cr/LoxP","Boutons","2a","6-7",5,"28",1,NA,NA
"135","WT-cr/LoxP","Boutons","2b","6-7",5,"28",1,NA,NA
"136","WT-cr/LoxP","Boutons","3a","6-7",5,"57",1,NA,NA
"137","WT-cr/LoxP","Boutons","3b","6-7",5,"71",1,NA,NA
"138","WT-cr/LoxP","Boutons","4a","6-7",5,"47",1,NA,NA
"139","WT-cr/LoxP","Boutons","4b","6-7",5,"43",1,NA,NA
"140","WT-cr/LoxP","Boutons","5a","6-7",5,"33",1,NA,NA
"141","WT-cr/LoxP","Boutons","5b","6-7",5,"32",1,NA,NA
"142","WT-cr/LoxP","Boutons","6a","6-7",5,"23",1,NA,NA
"143","WT-cr/LoxP","Boutons","6b","6-7",5,"39",1,NA,NA
"144","WT-cr/LoxP","Boutons","1a","6-7",5,"19",2,NA,NA
"145","WT-cr/LoxP","Boutons","1b","6-7",5,"17",2,NA,NA
"146","WT-cr/LoxP","Boutons","2a","6-7",5,"27",2,NA,NA
"147","WT-cr/LoxP","Boutons","2b","6-7",5,"23",2,NA,NA
"148","WT-cr/LoxP","Boutons","3a","6-7",5,"40",2,NA,NA
"149","WT-cr/LoxP","Boutons","3b","6-7",5,"28",2,NA,NA
"150","WT-cr/LoxP","Boutons","4a","6-7",5,"35",2,NA,NA
"151","WT-cr/LoxP","Boutons","4b","6-7",5,"46",2,NA,NA
"152","WT-cr/LoxP","Boutons","5a","6-7",5,"29",2,NA,NA
"153","WT-cr/LoxP","Boutons","5b","6-7",5,"28",2,NA,NA
"154","WT-cr/LoxP","Boutons","6a","6-7",5,"38",2,NA,NA
"155","WT-cr/LoxP","Boutons","6b","6-7",5,"47",2,NA,NA
"156","WT-cr/LoxP","Boutons","1a","6-7",6,"22",1,NA,NA
"157","WT-cr/LoxP","Boutons","1b","6-7",6,"22",1,NA,NA
"158","WT-cr/LoxP","Boutons","2a","6-7",6,"32",1,NA,NA
"159","WT-cr/LoxP","Boutons","2b","6-7",6,"26",1,NA,NA
"160","WT-cr/LoxP","Boutons","3a","6-7",6,"32",1,NA,NA
"161","WT-cr/LoxP","Boutons","3b","6-7",6,"21",1,NA,NA
"162","WT-cr/LoxP","Boutons","4a","6-7",6,"20",1,NA,NA
"163","WT-cr/LoxP","Boutons","4b","6-7",6,"32",1,NA,NA
"164","WT-cr/LoxP","Boutons","5a","6-7",6,"13",1,NA,NA
"165","WT-cr/LoxP","Boutons","5b","6-7",6,"20",1,NA,NA
"166","WT-cr/LoxP","Boutons","6a","6-7",6,"12",1,NA,NA
"167","WT-cr/LoxP","Boutons","6b","6-7",6,"18",1,NA,NA
"168","WT-cr/LoxP","Boutons","1a","6-7",6,"18",2,NA,NA
"169","WT-cr/LoxP","Boutons","1b","6-7",6,"42",2,NA,NA
"170","WT-cr/LoxP","Boutons","2a","6-7",6,"22",2,NA,NA
"171","WT-cr/LoxP","Boutons","2b","6-7",6,"22",2,NA,NA
"172","WT-cr/LoxP","Boutons","3a","6-7",6,"29",2,NA,NA
"173","WT-cr/LoxP","Boutons","3b","6-7",6,"26",2,NA,NA
"174","WT-cr/LoxP","Boutons","4a","6-7",6,"22",2,NA,NA
"175","WT-cr/LoxP","Boutons","4b","6-7",6,"43",2,NA,NA
"176","WT-cr/LoxP","Boutons","5a","6-7",6,"14",2,NA,NA
"177","WT-cr/LoxP","Boutons","5b","6-7",6,"31",2,NA,NA
"178","WT-cr/LoxP","Boutons","6a","6-7",6,"24",2,NA,NA
"179","G85R","Boutons","1a","4",3,"19",1,NA,NA
"180","G85R","Boutons","2a","4",3,"20",1,NA,NA
"181","G85R","Boutons","3a","4",3,"9",1,NA,NA
"182","G85R","Boutons","3b","4",3,"21",1,NA,NA
"183","G85R","Boutons","4b","4",3,"10",1,NA,NA
"184","G85R","Boutons","4a","4",3,"20",1,NA,NA
"185","G85R","Boutons","4b","4",3,"21",2,NA,NA
"186","G85R","Boutons","5a","4",3,"20",2,NA,NA
"187","G85R","Boutons","5b","4",3,"22",2,NA,NA
"188","G85R","Boutons","1a","4",3,"10",1,NA,NA
"189","G85R","Boutons","2a","4",3,"19",1,NA,NA
"190","G85R","Boutons","2b","4",3,"24",1,NA,NA
"191","G85R","Boutons","3a","4",3,"16",1,NA,NA
"192","G85R","Boutons","1a","4",4,"18",1,NA,NA
"193","G85R","Boutons","1b","4",4,"34",1,NA,NA
"194","G85R","Boutons","2a","4",4,"24",1,NA,NA
"195","G85R","Boutons","2b","4",4,"23",1,NA,NA
"196","G85R","Boutons","3a","4",4,"27",1,NA,NA
"197","G85R","Boutons","3b","4",4,"22",1,NA,NA
"198","G85R","Boutons","4a","4",4,"24",1,NA,NA
"199","G85R","Boutons","4b","4",4,"15",1,NA,NA
"200","G85R","Boutons","1a","4",4,"29",2,NA,NA
"201","G85R","Boutons","1b","4",4,"19",2,NA,NA
"202","G85R","Boutons","2a","4",4,"29",2,NA,NA
"203","G85R","Boutons","2b","4",4,"20",2,NA,NA
"204","G85R","Boutons","3a","4",4,"26",2,NA,NA
"205","G85R","Boutons","3b","4",4,"22",2,NA,NA
"206","G85R","Boutons","4a","4",4,"24",2,NA,NA
"207","G85R","Boutons","4b","4",4,"19",2,NA,NA
"208","G85R","Boutons","5a","4",4,"11",2,NA,NA
"209","G85R","Boutons","1a","4",5,"20",1,NA,NA
"210","G85R","Boutons","1b","4",5,"23",1,NA,NA
"211","G85R","Boutons","2a","4",5,"19",1,NA,NA
"212","G85R","Boutons","2b","4",5,"16",1,NA,NA
"213","G85R","Boutons","3a","4",5,"21",1,NA,NA
"214","G85R","Boutons","3b","4",5,"20",1,NA,NA
"215","G85R","Boutons","4a","4",5,"21",1,NA,NA
"216","G85R","Boutons","4b","4",5,"28",1,NA,NA
"217","G85R","Boutons","1a","4",5,"17",2,NA,NA
"218","G85R","Boutons","1b","4",5,"21",2,NA,NA
"219","G85R","Boutons","2a","4",5,"15",2,NA,NA
"220","G85R","Boutons","2b","4",5,"16",2,NA,NA
"221","G85R","Boutons","3a","4",5,"16",2,NA,NA
"222","G85R","Boutons","3b","4",5,"16",2,NA,NA
"223","G85R","Boutons","4a","4",5,"29",2,NA,NA
"224","G85R","Boutons","4b","4",5,"18",2,NA,NA
"225","G85R","Boutons","1a","4",6,"21",1,NA,NA
"226","G85R","Boutons","1b","4",6,"20",1,NA,NA
"227","G85R","Boutons","2a","4",6,"9",1,NA,NA
"228","G85R","Boutons","2b","4",6,"19",1,NA,NA
"229","G85R","Boutons","3a","4",6,"20",1,NA,NA
"230","G85R","Boutons","3b","4",6,"21",1,NA,NA
"231","G85R","Boutons","4a","4",6,"15",1,NA,NA
"232","G85R","Boutons","4b","4",6,"8",1,NA,NA
"233","G85R","Boutons","1a","4",6,"19",2,NA,NA
"234","G85R","Boutons","1b","4",6,"9",2,NA,NA
"235","G85R","Boutons","2a","4",6,"15",2,NA,NA
"236","G85R","Boutons","2b","4",6,"8",2,NA,NA
"237","G85R","Boutons","3a","4",6,"10",2,NA,NA
"238","G85R","Boutons","3b","4",6,"19",2,NA,NA
"239","G85R","Boutons","4a","4",6,"20",2,NA,NA
"240","G85R","Boutons","1a","6-7",3,"33",1,NA,NA
"241","G85R","Boutons","2a","6-7",3,"48",1,NA,NA
"242","G85R","Boutons","2b","6-7",3,"35",1,NA,NA
"243","G85R","Boutons","3a","6-7",3,"43",1,NA,NA
"244","G85R","Boutons","3b","6-7",3,"44",1,NA,NA
"245","G85R","Boutons","4a","6-7",3,"59",1,NA,NA
"246","G85R","Boutons","1a","6-7",3,"48",2,NA,NA
"247","G85R","Boutons","2b","6-7",3,"32",2,NA,NA
"248","G85R","Boutons","2a","6-7",3,"25",2,NA,NA
"249","G85R","Boutons","3a","6-7",3,"98",2,NA,NA
"250","G85R","Boutons","3b","6-7",3,"94",2,NA,NA
"251","G85R","Boutons","4a","6-7",3,"40",2,NA,NA
"252","G85R","Boutons","4b","6-7",3,"60",2,NA,NA
"253","G85R","Boutons","5a","6-7",3,"62",2,NA,NA
"254","G85R","Boutons","5b","6-7",3,"59",2,NA,NA
"255","G85R","Boutons","1a","6-7",4,"44",1,NA,NA
"256","G85R","Boutons","1b","6-7",4,"42",1,NA,NA
"257","G85R","Boutons","2a","6-7",4,"34",1,NA,NA
"258","G85R","Boutons","2b","6-7",4,"42",1,NA,NA
"259","G85R","Boutons","3a","6-7",4,"26",1,NA,NA
"260","G85R","Boutons","3b","6-7",4,"34",1,NA,NA
"261","G85R","Boutons","4a","6-7",4,"24",1,NA,NA
"262","G85R","Boutons","4b","6-7",4,"41",1,NA,NA
"263","G85R","Boutons","1a","6-7",4,"44",2,NA,NA
"264","G85R","Boutons","1b","6-7",4,"48",2,NA,NA
"265","G85R","Boutons","2a","6-7",4,"41",2,NA,NA
"266","G85R","Boutons","2b","6-7",4,"31",2,NA,NA
"267","G85R","Boutons","3a","6-7",4,"43",2,NA,NA
"268","G85R","Boutons","3b","6-7",4,"20",2,NA,NA
"269","G85R","Boutons","4a","6-7",4,"31",2,NA,NA
"270","G85R","Boutons","4b","6-7",4,"28",2,NA,NA
"271","G85R","Boutons","5a","6-7",4,"22",2,NA,NA
"272","G85R","Boutons","5b","6-7",4,"50",2,NA,NA
"273","G85R","Boutons","1a","6-7",5,"25",1,NA,NA
"274","G85R","Boutons","1b","6-7",5,"25",1,NA,NA
"275","G85R","Boutons","2a","6-7",5,"27",1,NA,NA
"276","G85R","Boutons","2b","6-7",5,"33",1,NA,NA
"277","G85R","Boutons","3a","6-7",5,"35",1,NA,NA
"278","G85R","Boutons","3b","6-7",5,"15",1,NA,NA
"279","G85R","Boutons","4a","6-7",5,"43",1,NA,NA
"280","G85R","Boutons","4b","6-7",5,"24",1,NA,NA
"281","G85R","Boutons","1a","6-7",5,"31",2,NA,NA
"282","G85R","Boutons","1b","6-7",5,"19",2,NA,NA
"283","G85R","Boutons","2a","6-7",5,"21",2,NA,NA
"284","G85R","Boutons","2b","6-7",5,"23",2,NA,NA
"285","G85R","Boutons","3a","6-7",5,"21",2,NA,NA
"286","G85R","Boutons","3b","6-7",5,"20",2,NA,NA
"287","G85R","Boutons","4a","6-7",5,"25",2,NA,NA
"288","G85R","Boutons","4b","6-7",5,"26",2,NA,NA
"289","G85R","Boutons","5a","6-7",5,"24",2,NA,NA
"290","G85R","Boutons","1a","6-7",6,"16",1,NA,NA
"291","G85R","Boutons","1b","6-7",6,"22",1,NA,NA
"292","G85R","Boutons","2a","6-7",6,"30",1,NA,NA
"293","G85R","Boutons","2b","6-7",6,"17",1,NA,NA
"294","G85R","Boutons","3a","6-7",6,"15",1,NA,NA
"295","G85R","Boutons","3b","6-7",6,"22",1,NA,NA
"296","G85R","Boutons","4a","6-7",6,"21",1,NA,NA
"297","G85R","Boutons","4b","6-7",6,"39",1,NA,NA
"298","G85R","Boutons","1a","6-7",6,"25",2,NA,NA
"299","G85R","Boutons","1b","6-7",6,"27",2,NA,NA
"300","G85R","Boutons","2a","6-7",6,"19",2,NA,NA
"301","G85R","Boutons","2b","6-7",6,"18",2,NA,NA
"302","G85R","Boutons","3a","6-7",6,"17",2,NA,NA
"303","G85R","Boutons","3b","6-7",6,"27",2,NA,NA
"304","G85R","Boutons","4a","6-7",6,"26",2,NA,NA
"305","G85R","Boutons","4b","6-7",6,"2",2,NA,NA
"306","OK371 > gbb [WT]","Boutons","4b","4",3,"29",1,NA,NA
